     Depth,  GAM(NAT),   RES(16),   RES(64),   NEUTRON,Outcome
158.8,26.074,54.3307,97.4409,403.026,Dry
159,11.0296,54.3307,97.4409,333.538,Dry
159.3,51.1479,54.3307,97.4409,375.231,Dry
159.5,31.0888,54.3307,97.4409,382.179,Dry
159.8,1,54.3307,97.4409,396.077,Dry
160,71.2071,54.3307,97.4409,451.667,Dry
160.3,61.1775,54.3307,97.4409,451.667,Dry
160.5,1,54.3307,97.4409,277.949,Dry
160.8,11.0296,57.2835,97.4409,347.436,Dry
161,51.1479,57.2835,97.4409,375.231,Dry
161.3,11.0296,57.2835,95.6693,409.974,Dry
161.5,101.296,57.2835,95.6693,375.231,Dry
161.8,16.0444,58.4646,95.6693,382.179,Dry
162,31.0888,58.4646,94.4882,298.795,Dry
162.3,41.1183,58.4646,94.4882,368.282,Dry
162.5,41.1183,58.4646,94.4882,451.667,Dry
162.8,61.1775,58.4646,93.3071,444.718,Dry
163,21.0592,58.4646,93.3071,396.077,Dry
163.3,41.1183,58.4646,93.3071,361.333,Dry
163.5,21.0592,58.4646,93.3071,437.769,Dry
163.8,41.1183,58.4646,91.5354,403.026,Dry
164,21.0592,58.4646,89.1732,375.231,Dry
164.3,51.1479,58.4646,89.1732,396.077,Dry
164.5,41.1183,58.4646,89.1732,396.077,Dry
164.8,71.2071,58.4646,89.1732,354.385,Dry
165,21.0592,58.4646,87.4016,375.231,Dry
165.3,41.1183,58.4646,87.4016,312.692,Dry
165.5,11.0296,58.4646,86.2205,396.077,Dry
165.8,31.0888,58.4646,86.2205,396.077,Dry
166,21.0592,58.4646,86.2205,423.872,Dry
166.3,41.1183,58.4646,86.2205,326.59,Dry
166.5,31.0888,58.4646,86.2205,382.179,Dry
166.8,51.1479,58.4646,86.2205,382.179,Dry
167,11.0296,58.4646,86.2205,333.538,Dry
167.3,31.0888,58.4646,86.2205,326.59,Dry
167.5,11.0296,58.4646,86.2205,319.641,Dry
167.8,51.1479,58.4646,86.2205,423.872,Dry
168,71.2071,58.4646,86.2205,347.436,Dry
168.3,31.0888,58.4646,86.2205,396.077,Dry
168.5,31.0888,58.4646,86.2205,389.128,Dry
168.8,51.1479,55.5118,86.2205,291.846,Dry
169,11.0296,55.5118,86.2205,458.615,Dry
169.3,81.2367,55.5118,86.2205,361.333,Dry
169.5,11.0296,54.3307,85.0394,347.436,Dry
169.8,31.0888,53.1496,85.0394,319.641,Dry
170,41.1183,53.1496,85.0394,319.641,Dry
170.3,16.0444,53.1496,83.2677,347.436,Dry
170.5,51.1479,51.378,82.0866,361.333,Dry
170.8,41.1183,51.378,82.0866,326.59,Dry
171,31.0888,51.378,82.0866,361.333,Dry
171.3,71.2071,50.1968,80.9055,347.436,Dry
171.5,31.0888,50.1968,80.9055,312.692,Dry
171.8,31.0888,50.1968,79.1339,368.282,Dry
172,41.1183,48.4252,79.1339,375.231,Dry
172.3,41.1183,48.4252,79.1339,347.436,Dry
172.5,61.1775,48.4252,76.7717,409.974,Dry
172.8,71.2071,48.4252,76.7717,416.923,Dry
173,41.1183,47.2441,73.8189,396.077,Dry
173.3,16.0444,46.063,72.0472,326.59,Dry
173.5,61.1775,46.063,70.8661,333.538,Dry
173.8,11.0296,46.063,70.8661,382.179,Dry
174,11.0296,46.063,70.8661,416.923,Dry
174.3,71.2071,46.063,72.0472,368.282,Dry
174.5,31.0888,46.063,72.0472,319.641,Dry
174.8,21.0592,46.063,75,354.385,Dry
175,41.1183,46.063,75,298.795,Dry
175.3,11.0296,46.063,75,305.744,Dry
175.5,61.1775,47.2441,77.9528,403.026,Dry
175.8,81.2367,48.4252,79.1339,416.923,Dry
176,41.1183,50.1968,79.1339,409.974,Dry
176.3,91.2663,51.378,79.1339,347.436,Dry
176.5,31.0888,55.5118,79.1339,340.487,Dry
176.8,81.2367,55.5118,80.9055,347.436,Dry
177,41.1183,57.2835,80.9055,319.641,Dry
177.3,41.1183,58.4646,82.0866,291.846,Dry
177.5,61.1775,59.6457,82.0866,375.231,Dry
177.8,41.1183,61.4173,82.0866,277.949,Dry
178,81.2367,61.4173,82.0866,382.179,Dry
178.3,61.1775,61.4173,82.0866,375.231,Dry
178.5,91.2663,61.4173,82.0866,298.795,Dry
178.8,81.2367,61.4173,82.0866,326.59,Dry
