     Depth,     GAMMA,  RES(16N),  RES(64N),   NEUTRON,Outcome
144.5,73.7914,67.5502,124.654,548.949,Dry
144.8,84.1902,67.8335,126.999,632.333,Dry
145,52.9939,68.1168,129.38,708.769,Dry
145.3,42.5951,68.3647,128.741,590.641,Dry
145.5,104.988,68.3293,127.426,618.436,Dry
145.8,42.5951,67.621,126.964,548.949,Dry
146,84.1902,67.1606,126.715,625.385,Dry
146.3,73.7914,68.471,126.999,611.487,Dry
146.5,94.589,68.4356,127.675,590.641,Dry
146.8,63.3926,68.4001,130.055,590.641,Dry
147,115.387,68.8251,131.05,611.487,Dry
147.3,84.1902,69.498,130.553,708.769,Dry
147.5,73.7914,69.6751,130.446,653.18,Dry
147.8,115.387,68.7189,130.517,576.744,Dry
148,104.988,68.4356,131.477,562.846,Dry
148.3,136.184,68.9668,132.187,691.397,Dry
148.5,52.9939,69.0376,131.121,722.667,Dry
148.8,63.3926,69.5688,130.801,639.282,Dry
149,89.3896,70.2772,129.664,687.923,Dry
149.3,52.9939,70.9146,128.705,757.41,Dry
149.5,32.1963,72.4729,129.06,799.103,Dry
149.8,104.988,72.7563,133.537,694.872,Dry
150,136.184,73.3229,131.441,528.103,Dry
150.3,136.184,73.3937,132.649,604.538,Dry
150.5,84.1902,73.7479,132.791,493.359,Dry
150.8,84.1902,74.6333,131.832,548.949,Dry
151,52.9939,75.5895,129.416,514.205,Dry
151.3,52.9939,76.6874,127.923,548.949,Dry
151.5,94.589,76.652,132.294,635.808,Dry
151.8,84.1902,75.6249,125.045,451.667,Dry
152,63.3926,74.9166,123.269,396.077,Dry
152.3,84.1902,72.8625,121.243,507.256,Dry
152.5,146.583,70.0647,120.284,382.179,Dry
152.8,136.184,67.621,119.857,521.154,Dry
153,21.7975,65.9919,119.431,458.615,Dry
153.3,73.7914,65.3898,119.964,465.564,Dry
153.5,229.773,65.0711,120.71,437.769,Dry
153.8,125.785,65.9919,117.761,396.077,Dry
154,136.184,66.7356,102.756,364.808,Dry
154.3,104.988,73.925,101.575,368.282,Dry
154.5,73.7914,65.1065,101.575,479.462,Dry
154.8,177.779,63.7253,101.575,298.795,Dry
155,198.577,61.2816,105.709,472.513,Dry
155.3,292.166,60.892,104.528,444.718,Dry
155.5,219.374,60.892,100.394,409.974,Dry
155.8,156.982,60.7504,97.4409,500.308,Dry
156,281.767,61.4233,94.4882,465.564,Dry
156.3,115.387,60.8212,94.4882,521.154,Dry
156.5,146.583,60.3608,95.6693,389.128,Dry
156.8,198.577,59.7233,97.4409,590.641,Dry
157,167.38,59.44,97.4409,507.256,Dry
157.3,136.184,59.6171,98.622,514.205,Dry
157.5,250.571,59.6525,97.4409,375.231,Dry
157.8,229.773,59.9004,97.4409,542,Dry
158,229.773,60.715,97.4409,562.846,Dry
158.3,156.982,61.2108,97.4409,708.769,Dry
158.5,240.172,61.1754,95.6693,465.564,Dry
158.8,156.982,60.715,95.6693,521.154,Dry
159,52.9939,61.4941,95.6693,486.41,Dry
159.3,136.184,61.1045,95.6693,528.103,Dry
159.5,104.988,61.6004,98.622,500.308,Dry
159.8,104.988,64.894,100.394,590.641,Dry
160,146.583,73.6771,102.756,576.744,Dry
160.3,167.38,68.2585,104.528,569.795,Dry
160.5,146.583,72.6146,106.89,486.41,Dry
160.8,73.7914,80.5831,106.89,437.769,Dry
161,73.7914,69.7459,106.89,465.564,Dry
161.3,136.184,87.8079,106.89,437.769,Dry
161.5,125.785,68.1168,101.575,500.308,Dry
161.8,136.184,65.744,100.394,486.41,Dry
162,104.988,64.2919,102.756,486.41,Dry
162.3,125.785,63.9378,105.709,416.923,Dry
