     Depth,  GAM(NAT),  RES(16N),   RES(64),   NEUTRON,Outcome
260.3,11.3988,16.6601,33.6706,882.487,Dry
260.5,11.3988,16.499,34.0697,764.359,Dry
260.8,1,16.4069,34.103,660.128,Dry
261,11.3988,16.3148,34.1362,736.564,Dry
261.3,21.7975,16.1767,34.2027,757.41,Dry
261.5,21.7975,16.1767,33.9367,785.205,Dry
261.8,11.3988,16.2688,33.6706,694.872,Dry
262,11.3988,16.499,33.0054,757.41,Dry
262.3,1,16.6831,32.4068,746.987,Dry
262.5,1,16.6831,32.1407,687.923,Dry
262.8,1,16.9363,32.0077,785.205,Dry
263,11.3988,17.0284,31.8082,771.308,Dry
263.3,21.7975,17.0514,31.143,792.154,Dry
263.5,11.3988,17.0514,30.9767,701.82,Dry
263.8,1,16.9133,30.8769,771.308,Dry
264,21.7975,16.6371,31.276,712.244,Dry
264.3,21.7975,16.3839,31.276,785.205,Dry
264.5,21.7975,16.0386,31.3425,771.308,Dry
264.8,1,15.8544,31.6086,555.897,Dry
265,6.19939,15.7623,31.5421,740.038,Dry
265.3,1,15.7623,31.2095,653.18,Dry
265.5,1,16.1767,30.7439,653.18,Dry
265.8,11.3988,16.1767,30.4778,806.051,Dry
266,11.3988,16.1076,30.2783,660.128,Dry
266.3,1,16.1306,30.4113,764.359,Dry
266.5,21.7975,16.1767,30.0787,875.538,Dry
266.8,1,15.9925,30.0787,865.115,Dry
267,11.3988,15.9925,29.8459,712.244,Dry
267.3,1,16.0846,29.347,722.667,Dry
267.5,21.7975,16.0386,28.8814,757.41,Dry
267.8,32.1963,16.2688,28.2828,757.41,Dry
268,1,16.3148,27.8837,708.769,Dry
268.3,21.7975,16.1306,27.5511,719.192,Dry
268.5,1,15.6702,27.6841,729.615,Dry
268.8,21.7975,14.8415,28.2163,750.462,Dry
269,11.3988,14.289,28.5488,722.667,Dry
269.3,11.3988,14.0588,28.8814,840.795,Dry
269.5,1,14.6113,28.316,632.333,Dry
269.8,1,15.3019,27.4846,722.667,Dry
270,32.1963,15.9925,27.152,715.718,Dry
270.3,1,16.4069,26.4868,778.256,Dry
270.5,1,16.8673,26.6199,597.59,Dry
270.8,21.7975,16.545,27.0855,830.372,Dry
271,1,15.9465,27.5844,736.564,Dry
271.3,11.3988,15.6242,28.2163,826.897,Dry
271.5,11.3988,15.0027,28.2163,660.128,Dry
271.8,11.3988,15.2559,28.2828,625.385,Dry
272,11.3988,15.1638,28.4823,569.795,Dry
272.3,11.3988,14.5653,28.2495,746.987,Dry
272.5,11.3988,14.289,29.6131,677.5,Dry
272.8,1,14.0128,29.6131,729.615,Dry
273,32.1963,14.1279,31.5421,674.026,Dry
273.3,11.3988,14.5653,28.8814,715.718,Dry
273.5,11.3988,15.2559,27.9502,806.051,Dry
273.8,21.7975,15.9925,27.4846,851.218,Dry
274,1,16.8212,26.9192,736.564,Dry
274.3,1,17.1896,27.6176,771.308,Dry
274.5,1,16.7752,28.4158,875.538,Dry
274.8,11.3988,16.2227,29.4801,757.41,Dry
275,11.3988,15.6702,29.9789,806.051,Dry
275.3,1,15.8544,30.0122,667.077,Dry
275.5,11.3988,16.0846,29.8792,715.718,Dry
275.8,1,16.4069,29.6131,757.41,Dry
276,42.5951,16.7292,29.1475,646.231,Dry
276.3,1,16.8673,29.0477,771.308,Dry
276.5,21.7975,16.8212,29.347,750.462,Dry
276.8,1,16.7292,29.7461,771.308,Dry
277,1,16.6371,29.5466,833.846,Dry
277.3,11.3988,16.4529,29.4136,722.667,Dry
277.5,11.3988,16.1767,29.214,819.949,Dry
277.8,11.3988,15.8084,29.0477,792.154,Dry
278,11.3988,15.5782,29.081,684.449,Dry
278.3,21.7975,15.1178,29.081,771.308,Dry
278.5,1,14.8645,29.4801,799.103,Dry
278.8,21.7975,14.6113,29.6131,764.359,Dry
279,16.5982,14.3811,29.2473,819.949,Dry
279.3,1,14.7034,28.2828,701.82,Dry
279.5,1,14.8415,27.4181,740.038,Dry
279.8,1,15.0717,26.6199,667.077,Dry
280,1,15.1178,25.8882,701.82,Dry
280.3,1,15.1638,25.5556,639.282,Dry
280.5,1,14.7494,25.7219,712.244,Dry
280.8,1,14.4272,26.0877,781.731,Dry
281,11.3988,14.1509,26.0877,618.436,Dry
281.3,1,13.8286,26.0212,687.923,Dry
